file_name,batch_folder,plan_name_raw,plan_id_candidate
1013-meadow-pond-rd-plan--Qm_wFMOITJ4UKtfh-OL6.zip,vetro_manual_batch1_2026-01-30,1013-meadow-pond-rd-plan--Qm_wFMOITJ4UKtfh-OL6,meadow-pond-rd-plan--Qm_wFMOITJ4UKtfh-OL6
1047-main-rd-plan-n_KCmXlz5zH0kOB-2Rx6c.zip,vetro_manual_batch1_2026-01-30,1047-main-rd-plan-n_KCmXlz5zH0kOB-2Rx6c,main-rd-plan-n_KCmXlz5zH0kOB-2Rx6c
107-abrams-mountain-rd-plan-aUWW9B_acNqcLGggIFJdh.zip,vetro_manual_batch1_2026-01-30,107-abrams-mountain-rd-plan-aUWW9B_acNqcLGggIFJdh,abrams-mountain-rd-plan-aUWW9B_acNqcLGggIFJdh
126-tehan-rd-plan-TTyVLHKv2JkaVMNzmBu8x.zip,vetro_manual_batch1_2026-01-30,126-tehan-rd-plan-TTyVLHKv2JkaVMNzmBu8x,tehan-rd-plan-TTyVLHKv2JkaVMNzmBu8x
150-bluff-rd-plan-LOFgJLOWAoQ5XjroHLdvL.zip,vetro_manual_batch1_2026-01-30,150-bluff-rd-plan-LOFgJLOWAoQ5XjroHLdvL,bluff-rd-plan-LOFgJLOWAoQ5XjroHLdvL
160-west-bay-rd-plan-a-sJx60EoSmR3FLGozi3A.zip,vetro_manual_batch1_2026-01-30,160-west-bay-rd-plan-a-sJx60EoSmR3FLGozi3A,west-bay-rd-plan-a-sJx60EoSmR3FLGozi3A
300-main-rd-garage-plan-TJr4DrZdOFW0Kw6RaFleD.zip,vetro_manual_batch1_2026-01-30,300-main-rd-garage-plan-TJr4DrZdOFW0Kw6RaFleD,main-rd-garage-plan-TJr4DrZdOFW0Kw6RaFleD
512-ferry-rd-plan-thaKGqegPS5G5GF4cgYF-.zip,vetro_manual_batch1_2026-01-30,512-ferry-rd-plan-thaKGqegPS5G5GF4cgYF-,ferry-rd-plan-thaKGqegPS5G5GF4cgYF-
buckfield-re-connect-locations-plan-EZEJRedmqY7WjZ9mNNio4.zip,vetro_manual_batch1_2026-01-30,buckfield-re-connect-locations-plan-EZEJRedmqY7WjZ9mNNio4,re-connect-locations-plan-EZEJRedmqY7WjZ9mNNio4
camden-fttx-option-1-plan-bXhG9XQ8Ig4vpd0QYwwEg.zip,vetro_manual_batch1_2026-01-30,camden-fttx-option-1-plan-bXhG9XQ8Ig4vpd0QYwwEg,fttx-option-1-plan-bXhG9XQ8Ig4vpd0QYwwEg
camden-fttx-option-2-plan-K7tXmehIecOBu1U-JArQb.zip,vetro_manual_batch1_2026-01-30,camden-fttx-option-2-plan-K7tXmehIecOBu1U-JArQb,fttx-option-2-plan-K7tXmehIecOBu1U-JArQb
canton-re-connect-locations-plan-8k49jZ2YPMXaPZG7T_9MP.zip,vetro_manual_batch1_2026-01-30,canton-re-connect-locations-plan-8k49jZ2YPMXaPZG7T_9MP,re-connect-locations-plan-8k49jZ2YPMXaPZG7T_9MP
cumberland-pine-lane-fttx-plan-36hPSuB1p-HAs0tHcKnfn.zip,vetro_manual_batch1_2026-01-30,cumberland-pine-lane-fttx-plan-36hPSuB1p-HAs0tHcKnfn,pine-lane-fttx-plan-36hPSuB1p-HAs0tHcKnfn
deer-isles-re-connect-v-2-plan-m2YI-uVh8Ms0lwftcsP_V.zip,vetro_manual_batch1_2026-01-30,deer-isles-re-connect-v-2-plan-m2YI-uVh8Ms0lwftcsP_V,isles-re-connect-v-2-plan-m2YI-uVh8Ms0lwftcsP_V
hartford-re-connect-locations-plan-j8wzOnzFcC0PlBpadGtzS.zip,vetro_manual_batch1_2026-01-30,hartford-re-connect-locations-plan-j8wzOnzFcC0PlBpadGtzS,re-connect-locations-plan-j8wzOnzFcC0PlBpadGtzS
initial-rockport-fttx-network-plan-G0f6e_R-qNiafJIp58LUI.zip,vetro_manual_batch1_2026-01-30,initial-rockport-fttx-network-plan-G0f6e_R-qNiafJIp58LUI,rockport-fttx-network-plan-G0f6e_R-qNiafJIp58LUI
islesboro-municipal-broadband-imb-plan-u6dnXfTt4XIN8Mr4_Gnp6.zip,vetro_manual_batch1_2026-01-30,islesboro-municipal-broadband-imb-plan-u6dnXfTt4XIN8Mr4_Gnp6,municipal-broadband-imb-plan-u6dnXfTt4XIN8Mr4_Gnp6
madrid-re-connect-locations-plan-KTlrbKBevD3gz8kL5E5Hr.zip,vetro_manual_batch1_2026-01-30,madrid-re-connect-locations-plan-KTlrbKBevD3gz8kL5E5Hr,re-connect-locations-plan-KTlrbKBevD3gz8kL5E5Hr
phillips-re-connect-locations-plan-12O_b1V5dYC_5cq_iXz1j.zip,vetro_manual_batch1_2026-01-30,phillips-re-connect-locations-plan-12O_b1V5dYC_5cq_iXz1j,re-connect-locations-plan-12O_b1V5dYC_5cq_iXz1j
rockport-gwi-network-plan-mB27qbbElaHgDz5HKSgak.zip,vetro_manual_batch1_2026-01-30,rockport-gwi-network-plan-mB27qbbElaHgDz5HKSgak,gwi-network-plan-mB27qbbElaHgDz5HKSgak
somerville-re-connect-locations-plan-VhOwcRezYtgIMlqEuGS5u.zip,vetro_manual_batch1_2026-01-30,somerville-re-connect-locations-plan-VhOwcRezYtgIMlqEuGS5u,re-connect-locations-plan-VhOwcRezYtgIMlqEuGS5u
strong-re-connect-locations-plan-hh9gBmPcmMnSk8aUUM682.zip,vetro_manual_batch1_2026-01-30,strong-re-connect-locations-plan-hh9gBmPcmMnSk8aUUM682,re-connect-locations-plan-hh9gBmPcmMnSk8aUUM682
sumner-full-town-fttx-plan-re6Ns2NjLzQRkBcndp1Ax.zip,vetro_manual_batch1_2026-01-30,sumner-full-town-fttx-plan-re6Ns2NjLzQRkBcndp1Ax,full-town-fttx-plan-re6Ns2NjLzQRkBcndp1Ax
sumner-re-connect-locations-plan-s-riHNXDCNdoaW59RybHp.zip,vetro_manual_batch1_2026-01-30,sumner-re-connect-locations-plan-s-riHNXDCNdoaW59RybHp,re-connect-locations-plan-s-riHNXDCNdoaW59RybHp
